YEAR,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC
2000,9.4,190.0,2.2,120.0,76.0,32.8,7.0,55.0,214.2,31.4,105.6,21.0
2001,68.2,0.0,34.3,184.0,19.0,6.8,8.6,4.4,71.8,354.6,163.8,6.0
2002,0.0,5.2,38.0,94.4,50.2,5.9,6.4,23.8,15.4,249.1,90.2,14.8
2003,0.0,7.0,101.8,104.0,29.6,22.8,12.0,6.4,4.6,314.0,41.4,8.0
2004,0.0,0.0,13.0,59.4,40.6,10.2,3.0,6.0,135.0,137.4,123.0,0.0
2005,55.0,44.0,28.0,104.4,29.0,43.6,18.0,16.0,21.6,211.5,279.0,80.8
2006,0.0,0.0,131.8,68.2,14.0,0.0,2.0,10.4,11.0,157.6,123.6,0.0
2007,0.0,0.0,0.0,68.0,30.4,58.6,6.0,5.8,0.0,0.0,0.0,188.6
2008,1.2,8.1,193.2,54.4,10.5,7.8,7.8,89.2,44.2,183.9,37.6,22.6
2009,3.2,0.0,41.0,108.0,36.2,4.0,19.4,35.6,80.4,53.4,256.2,16.2
2010,4.8,0.0,0.0,108.4,0.0,41.6,91.4,31.8,54.6,210.4,288.2,15.8
2011,0.0,80.0,35.4,101.15,35.0,22.9,13.4,48.6,23.4,194.5,173.0,1.9
2012,20.0,0.0,4.0,71.2,12.6,9.0,2.0,25.0,1.0,198.4,133.2,35.0
2013,0.0,5.0,42.0,75.8,48.2,24.6,20.6,93.2,25.4,97.2,85.8,20.0
2014,0.8,0.6,101.8,55.6,90.9,5.2,5.2,69.0,57.6,336.6,77.8,59.0
2015,0.0,6.6,87.2,272.8,169.8,108.6,8.0,23.2,231.0,101.8,185.8,120.6
2016,0.0,0.2,7.4,3.6,77.0,16.2,51.26,3.0,0.0,88.2,27.0,15.2
2017,6.4,0.0,104.4,59.2,94.6,18.2,8.2,46.6,133.6,103.6,69.4,33.0
